depth_m,Al_pct,Si_pct,Fe_pct,Ca_pct,Ti_pct
6.740,3.68,11.66,1.903,18.08,0.242
6.780,3.843,11.53,1.941,18.98,0.2043
6.820,3.557,9.987,1.866,21.0,0.2283
6.860,3.579,9.898,1.903,21.51,0.2049
6.900,3.315,8.605,1.747,23.08,0.1952
6.940,3.142,8.027,1.68,23.86,0.1683
6.980,2.994,7.516,1.557,24.49,0.1616
7.020,3.193,8.187,1.562,23.86,0.1846
7.060,2.719,7.494,1.532,25.02,0.1596
7.100,2.941,7.826,1.558,24.06,0.1609
7.140,2.76,7.926,1.472,23.86,0.1707
7.180,3.059,9.141,1.398,22.74,0.1709
7.220,2.717,9.002,1.246,22.65,0.1671
7.260,2.313,11.08,0.9975,18.18,0.1573
7.300,2.714,7.554,1.44,24.81,0.16
7.340,2.919,8.105,1.505,23.8,0.1679
7.380,2.862,8.25,1.544,23.23,0.1829
7.420,3.146,9.485,1.59,21.31,0.1906
7.460,3.115,9.426,1.574,21.28,0.1996
7.500,3.245,10.59,1.718,19.8,0.2059
7.540,3.126,10.86,1.542,19.97,0.2092
7.580,3.196,10.84,1.627,19.27,0.1805
7.620,3.265,11.48,1.65,18.1,0.1745
7.660,3.506,12.1,1.653,17.65,0.2147
7.700,3.407,12.59,1.613,16.77,0.1917
7.740,3.516,12.12,1.709,17.31,0.2164
7.780,3.674,12.4,1.958,17.05,0.2053
7.820,3.823,12.68,1.985,16.48,0.2495
7.860,4.003,12.64,2.117,15.97,0.2152
7.900,3.996,12.66,2.036,16.28,0.2058
7.940,4.476,13.68,2.129,14.74,0.2792
7.980,4.431,13.52,2.216,15.05,0.2395
8.020,4.232,12.92,2.174,15.42,0.2346
8.060,4.454,13.59,2.235,14.79,0.2468
8.100,4.402,13.02,2.246,15.71,0.2325
8.140,4.528,13.07,2.236,16.24,0.2484
8.180,3.899,10.01,1.947,21.46,0.2042
8.220,3.339,8.557,1.659,23.6,0.1792
8.260,3.024,7.579,1.683,24.5,0.147
8.300,2.843,7.576,1.438,25.14,0.1414
8.340,2.827,8.078,1.389,24.26,0.1207
8.380,2.896,10.02,1.519,22.9,0.1336
8.420,2.943,11.42,1.52,21.12,0.1382
8.460,2.652,13.87,1.385,18.91,0.1434
8.500,2.066,17.88,1.488,16.07,0.1364
8.540,1.783,18.85,1.676,16.13,0.1252
8.580,2.104,16.92,1.553,16.42,0.133
8.620,2.314,13.31,1.471,18.68,0.1337
8.660,2.449,13.0,1.534,19.39,0.1475
8.700,2.463,10.97,1.493,20.76,0.1437
8.740,2.676,11.11,1.442,21.03,0.1484
8.780,2.746,11.22,1.502,20.1,0.153
8.820,2.99,11.54,1.55,19.66,0.2081
8.860,3.286,12.04,1.808,18.39,0.1796
8.900,3.359,12.16,1.657,18.32,0.1874
8.940,3.975,14.16,1.995,14.58,0.2261
8.980,3.43,14.1,1.597,15.32,0.2215
9.020,3.585,13.19,1.827,16.81,0.2393
9.060,3.595,12.79,1.655,17.24,0.1938
9.100,3.459,12.63,1.79,17.4,0.1977
9.140,3.367,13.11,1.854,16.82,0.2293
9.180,3.38,12.58,2.037,17.16,0.2203
9.220,3.465,13.67,1.91,15.93,0.2065
9.260,3.642,13.69,1.92,16.25,0.2078
9.300,3.737,13.24,1.905,16.14,0.2079
9.340,4.354,14.89,2.332,14.31,0.2338
9.380,3.968,14.24,1.917,14.99,0.2112
9.420,4.368,14.73,2.324,13.54,0.2399
9.460,4.309,14.72,2.167,13.86,0.2397
9.500,3.947,14.15,2.051,14.68,0.2218
9.540,4.107,14.54,2.05,14.05,0.2584
9.580,4.1,14.34,2.005,14.82,0.2448
9.620,4.115,14.01,2.157,15.38,0.2274
9.660,3.956,12.93,1.978,16.87,0.2472
9.700,4.08,13.3,1.998,16.31,0.2538
9.740,4.225,14.0,2.009,15.51,0.2543
9.780,4.223,13.51,2.148,15.83,0.2544
9.820,4.349,13.58,2.129,16.15,0.222
9.860,4.309,13.85,2.286,15.39,0.26
9.900,4.311,13.68,2.145,14.83,0.2238
9.940,4.497,14.31,2.201,14.24,0.2285
9.980,5.007,15.47,2.368,12.88,0.2943
10.020,4.94,15.94,2.334,12.04,0.2904
10.060,3.858,22.86,1.716,6.203,0.2866
10.100,3.628,16.43,1.58,12.9,0.2036
10.140,3.832,14.96,1.817,14.44,0.2121
10.180,3.75,14.62,1.882,15.08,0.1997
10.220,4.044,15.41,1.898,14.4,0.2132
10.260,4.062,15.25,1.9,14.08,0.2343
10.300,4.097,15.75,1.869,13.46,0.2286
10.340,4.129,15.24,2.158,13.42,0.2419
10.380,4.368,15.42,1.953,13.19,0.2496
10.420,2.389,16.95,0.9743,12.68,0.2158
10.460,1.923,16.61,0.8086,13.36,0.1681
10.500,2.565,15.89,1.051,13.65,0.1689
10.540,3.84,14.65,1.712,15.12,0.202
10.580,4.029,14.28,1.821,14.91,0.2479
10.620,3.973,14.61,2.011,13.85,0.2131
10.660,5.479,19.75,2.584,8.032,0.3024
10.700,5.317,18.32,2.372,9.723,0.2968
10.740,4.758,15.27,2.422,13.22,0.2591
10.780,4.145,12.44,2.19,16.99,0.2215
10.820,3.452,9.237,1.935,21.51,0.1647
10.860,3.238,8.41,2.383,21.96,0.1604
10.900,3.447,9.435,2.014,20.3,0.1785
10.940,3.255,9.103,1.969,20.47,0.1666
10.980,3.674,11.99,1.981,16.21,0.2246
11.020,3.184,14.13,1.611,15.33,0.2034
11.060,4.101,10.24,2.187,19.68,0.2054
11.100,4.037,10.24,2.191,19.35,0.1984
11.140,4.418,11.15,2.238,18.2,0.2188
11.180,4.782,12.25,2.595,15.99,0.2361
11.220,4.333,11.94,2.479,16.51,0.2632
11.260,4.139,12.02,2.085,17.48,0.2164
11.300,3.145,12.53,2.026,17.12,0.168
11.340,3.375,11.86,1.872,17.86,0.194
11.380,3.232,11.06,1.758,18.26,0.2103
11.420,3.448,11.54,1.931,17.73,0.1755
11.460,3.653,12.21,2.105,17.96,0.2243
11.500,3.568,12.26,2.344,17.29,0.1901
11.540,3.634,12.67,2.125,15.94,0.1985
11.580,3.86,13.07,2.137,15.7,0.2493
11.620,3.84,13.61,1.856,15.09,0.2445
11.660,4.045,13.89,1.987,14.35,0.2095
11.700,4.263,14.2,2.126,14.42,0.2333
11.740,3.935,13.38,2.183,14.25,0.2056
11.780,4.253,14.62,2.149,12.94,0.229
11.820,4.03,13.97,2.083,14.95,0.2139
11.860,3.362,13.66,1.802,14.07,0.2197
11.900,4.316,15.15,2.216,13.57,0.2631
11.940,4.645,15.44,2.203,12.48,0.2518
11.980,5.665,18.82,2.573,8.275,0.3064
12.020,5.222,17.25,2.314,10.38,0.3245
12.060,5.043,16.27,2.224,11.39,0.2665
12.100,4.562,13.47,2.281,15.61,0.2459
12.140,4.442,12.81,2.236,16.01,0.2415
12.180,4.325,11.93,2.086,17.88,0.2524
12.220,3.926,10.33,2.093,19.89,0.187
12.260,4.149,11.12,2.073,18.91,0.1929
12.300,4.124,11.14,2.279,18.62,0.1932
12.340,4.308,12.46,2.114,16.19,0.2547
12.380,4.184,13.47,2.08,14.51,0.2517
12.420,4.434,13.74,1.967,14.0,0.2586
12.460,4.708,14.27,2.047,13.98,0.2584
12.500,2.835,22.2,1.02,6.886,0.2299
12.540,2.61,20.75,0.9375,7.283,0.2033
12.580,3.702,12.23,1.818,17.13,0.2222
12.620,4.179,14.6,2.09,13.4,0.2521
12.660,3.02,18.61,1.357,10.31,0.1864
12.700,3.678,15.96,1.511,12.75,0.2283
12.740,4.161,12.03,2.066,17.19,0.2212
12.780,4.246,13.01,2.17,16.26,0.2176
12.820,3.857,12.8,1.839,16.73,0.2299
12.860,3.083,13.35,1.686,15.8,0.2017
12.900,4.246,15.31,2.105,12.69,0.233
12.940,3.858,16.4,1.837,12.64,0.2235
12.980,3.913,13.68,1.898,15.62,0.2143
13.020,4.153,14.02,2.033,15.2,0.2141
13.060,4.152,14.2,1.966,15.18,0.2118
13.100,4.14,14.15,2.263,14.59,0.2259
13.140,4.137,14.23,2.087,14.73,0.2203
13.180,4.075,14.17,1.881,14.58,0.2163
13.220,4.088,14.21,1.953,14.33,0.2251
13.260,4.155,13.93,1.959,15.11,0.219
13.300,3.934,13.08,1.955,15.63,0.2196
13.340,3.658,12.36,2.009,16.05,0.2418
13.380,3.736,12.77,2.004,15.42,0.2084
13.420,3.953,14.6,2.055,13.76,0.2316
13.460,3.931,15.6,1.906,13.28,0.2577
13.500,4.059,14.23,1.994,14.4,0.2624
13.540,4.089,14.62,1.822,14.65,0.2181
13.580,3.863,13.32,1.7,15.79,0.2075
13.620,3.428,11.94,1.555,17.62,0.1935
13.660,3.221,10.91,1.632,18.8,0.2064
13.700,3.671,11.9,1.794,17.09,0.2462
13.740,4.011,13.23,1.761,15.71,0.2521
13.780,4.055,13.45,1.761,15.32,0.2679
13.820,3.99,13.67,1.793,15.05,0.2833
13.860,3.292,10.85,1.83,18.76,0.2246
13.900,3.049,9.398,1.895,21.36,0.164
13.940,3.159,9.055,2.054,22.26,0.1541
13.980,2.839,7.175,1.709,24.79,0.128
14.020,2.51,6.279,1.49,25.96,0.1465
14.060,1.953,4.998,1.119,28.52,0.0845
14.100,1.833,4.726,1.109,29.05,0.1015
14.140,1.625,4.268,1.021,29.91,0.1022
14.180,1.674,4.33,0.9659,29.96,0.0983
14.220,1.457,3.829,0.7937,31.18,0.0806
14.260,1.509,4.018,0.8404,30.11,0.0872
14.300,1.745,4.569,0.9435,29.44,0.0932
14.340,2.131,5.512,1.21,28.14,0.1229
14.380,2.231,5.836,1.184,27.27,0.1236
14.420,2.486,6.504,1.278,25.95,0.1412
14.460,2.896,7.715,1.719,23.59,0.1646
14.500,2.923,7.705,1.53,24.04,0.1678
14.540,3.084,7.976,1.612,23.16,0.1846
14.580,3.151,8.345,1.722,21.66,0.1792
14.620,3.286,9.966,1.671,20.12,0.2048
14.660,3.028,9.92,1.546,20.37,0.1897
14.700,3.102,9.709,1.526,20.7,0.2008
14.740,2.879,9.225,1.559,21.3,0.1906
14.780,2.832,9.011,1.591,21.3,0.1548
